CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents
"04/28/2018,11:00:00,6C,3500 BOSTON ST,LARCENY,O,,233,SOUTHEASTERN,Canton Industrial Area,-76.56694,39.27705,""(39.277050000000, -76.566940000000)"",STREET,1"
"04/28/2018,10:45:00,6J,0 W CLEMENT ST,LARCENY,,,942,SOUTHERN,South Baltimore,-76.61445,39.27364,""(39.273640000000, -76.614450000000)"",,1"
"04/28/2018,10:30:00,6D,100 S EXETER ST,LARCENY FROM AUTO,O,,211,SOUTHEASTERN,Jonestown,-76.60233,39.28909,""(39.289090000000, -76.602330000000)"",STREET,1"
"04/28/2018,10:00:00,3B,2800 VIRGINIA AVE,ROBBERY - STREET,O,,532,NORTHERN,Parklane,-76.66282,39.34504,""(39.345040000000, -76.662820000000)"",STREET,1"
"04/28/2018,10:00:00,4E,3100 BAKER ST,COMMON ASSAULT,I,OTHER,813,SOUTHWESTERN,Rosemont,-76.66936,39.30585,""(39.305850000000, -76.669360000000)"",ROW/TOWNHO,1"
"04/28/2018,09:00:00,5A,2100 CAMBRIDGE ST,BURGLARY,I,,232,SOUTHEASTERN,Canton,-76.58634,39.28472,""(39.284720000000, -76.586340000000)"",ROW/TOWNHO,1"
"04/28/2018,08:40:00,6D,BROADWAY & FLEET ST,LARCENY FROM AUTO,O,,213,SOUTHEASTERN,Fells Point,-76.59356,39.28455,""(39.284550000000, -76.593560000000)"",STREET,1"
"04/28/2018,08:30:00,5D,4100 PARK HEIGHTS AVE,BURGLARY,I,,614,NORTHWESTERN,Central Park Heights,-76.66409,39.33668,""(39.336680000000, -76.664090000000)"",OTHER - IN,1"
"04/28/2018,08:19:00,3K,0 N WOODINGTON RD,ROBBERY - RESIDENCE,I,,843,SOUTHWESTERN,Irvington,-76.68682,39.28674,""(39.286740000000, -76.686820000000)"",APT/CONDO,1"
"04/28/2018,07:54:00,6C,1500 N MONROE ST,LARCENY,I,,741,WESTERN,Easterwood,-76.64793,39.30528,""(39.305280000000, -76.647930000000)"",RETAIL/SMA,1"
"04/28/2018,06:30:00,4E,5600 LOCH RAVEN BLVD,COMMON ASSAULT,I,OTHER,415,NORTHEASTERN,Loch Raven,-76.58856,39.35952,""(39.359520000000, -76.588560000000)"",APT/CONDO,1"
"04/28/2018,06:02:00,3H,4800 O''DONNELL ST,ROBBERY - COMMERCIAL,I,,242,SOUTHEASTERN,Greektown,-76.5547,39.28099,""(39.280990000000, -76.554700000000)"",RETAIL/SMA,1"
"04/28/2018,04:52:00,5D,2200 N CHARLES ST,BURGLARY,I,,514,NORTHERN,Old Goucher,-76.61672,39.31441,""(39.314410000000, -76.616720000000)"",DRUG STORE,1"
"04/28/2018,04:00:00,5A,3000 TIOGA PKWY,BURGLARY,I,,611,NORTHWESTERN,Burleith-Leighton,-76.65946,39.31687,""(39.316870000000, -76.659460000000)"",ROW/TOWNHO,1"
